,,Players,Pts
,1,J. Sinner,11830
,2,A. Zverev,7915
,3,C. Alcaraz,7010
,4,T. Fritz,5100
,5,D. Medvedev,5030
,6,C. Ruud,4255
,7,N. Djokovic,3910
,8,A. Rublev,3760
,9,A. De Minaur,3745
,10,G. Dimitrov,3350
,11,S. Tsitsipas,3165
,12,T. Paul,3145
,13,H. Rune,3025
,14,U. Humbert,2765
,15,J. Draper,2685
,16,H. Hurkacz,2640
,17,L. Musetti,2600
,18,F. Tiafoe,2585
,19,K. Khachanov,2410
,20,A. Fils,2355
,21,B. Shelton,2330
,22,S. Korda,1985
,23,A. Tabilo,1943
,24,A. Popyrin,1865
,25,T. Machác,1758
,26,J. Thompson,1745
,27,S. Báez,1690
,28,J. Lehecka,1660
,29,F. Auger-Aliassime,1635
,30,F. Cerúndolo,1620
,31,G. Mpetshi Perricard,1561
,32,F. Cobolli,1472
,33,A. Bublik,1420
,34,M. Berrettini,1380
,35,N. Jarry,1370
,36,N. Borges,1355
,37,M. Arnaldi,1345
,38,B. Nakashima,1335
,39,T. Etcheverry,1315
,40,T. Griekspoor,1280
,41,A. Michelsen,1245
,42,J. Struff,1240
,43,P. Martínez,1205
,44,L. Darderi,1198
,45,Z. Zhang,1155
,46,M. Giron,1150
,47,M. Navone,1148
,48,J. Menšík,1136
,49,C. Norrie,1119
,50,J. Shang,1115
,51,R. Bautista,1104
,52,D. Goffin,1037
,53,L. Sonego,1026
,54,M. Kecmanovic,1021
,55,G. Monfils,1005
,56,D. Shapovalov,981
,57,R. Carballés,981
,58,F. Marozsán,935
,59,A. Rinderknech,927
,60,R. Safiullin,923
,61,A. Davidovich,845
,62,J. Munar,832
,63,A. Cazaux,807
,64,C. O'Connell,795
,65,Y. Bu,784
,66,A. Mannarino,779
,67,A. Muller,778
,68,A. Vukic,778
,69,Y. Nishioka,776
,70,C. Moutet,772
,71,Z. Bergs,768
,72,Q. Halys,756
,73,R. Hijikata,746
,74,T. Seyboth Wild,732
,75,B. Bonzi,730
,76,H. Gaston,717
,77,T. Kokkinakis,716
,78,A. Shevchenko,715
,79,F. Díaz,714
,80,B. van de Zandschulp,712
,81,D. Lajovic,710
,82,J. Duckworth,687
,83,D. Džumhur,679
,84,T. Daniel,674
,85,F. Comesaña,661
,86,P. Kotov,655
,87,G. Diallo,643
,88,S. Ofner,643
,89,D. Altmaier,640
,90,B. Coric,639
,91,F. Fognini,637
,92,L. Nardi,637
,93,A. Walton,636
,94,O. Virtanen,634
,95,E. Ruusuvuori,628
,96,Y. Hanfmann,627
,97,C. Ugo,624
,98,S. Nagal,622
,99,J. Fearnley,622
,100,F. Coria,617
,101,L. Pouille,616
,102,D. Koepfer,610
,103,M. Bellucci,605
,104,M. Fucsovics,597
,105,M. Purcell,591
,106,K. Nishikori,578
,107,C. Eubanks,572
,108,F. Passaro,570
,109,T. Monteiro,566
,110,N. Moreno De Alboran,556
,111,A. Kovacevic,554
,112,J. de Jong,548
,113,M. Kukushkin,542
,114,H. Medjedovic,536
,115,L. Djere,519
,116,H. Mayot,518
,117,T. Tirante,515
,118,A. Ritschard,513
,119,C. Tseng,509
,120,K. Majchrzak,506
,121,R. Collignon,500
,122,L. Tien,493
,123,J. Faria,489
,124,H. Dellien,488
,125,B. Harris,474
,126,D. Galán,473
,127,J. Kovalík,472
,128,L. Van Assche,471
,129,R. Gasquet,470
,130,V. Kopriva,465
,131,M. McDonald,464
,132,L. Harris,457
,133,T. Boyer,452
,134,J. Kym,451
,135,L. Riedi,449
,136,L. Klein,443
,137,F. Gómez,442
,138,N. Basavareddy,440
,139,J. Cerúndolo,428
,140,V. Vacherot,426
,141,M. Gigante,424
,142,D. Ajdukovic,422
,143,M. Trungelliti,417
,144,F. Bagnis,414
,145,J. Fonseca,409
,146,Y. Uchiyama,398
,147,M. Krueger,396
,148,P. Herbert,391
,149,F. Meligeni Alves,389
,150,S. Hong,389
,151,M. Landaluce,383
,152,C. Garín,382
,153,R. Nadal,380
,154,T. Barrios,380
,155,H. Grenier,379
,156,R. Burruchaga,378
,157,A. Bolt,377
,158,T. Atmane,376
,159,M. Hüsler,376
,160,E. Møller,372
,161,S. Wawrinka,371
,162,G. Barrère,371
,163,R. Albot,369
,164,D. Evans,364
,165,A. Ramos,359
,166,Z. Svajda,352
,167,S. Napolitano,349
