rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Jannik Sinner,Italy,ITA,2414,1,2024-06-24,0,2,2414
2,Novak Djokovic,Serbia,SRB,2347,1,2011-03-21,0,0,2629
3,Carlos Alcaraz Garfia,Spain,ESP,2280,1,2024-07-15,0,0,2348
4,Alexander Zverev,Germany,GER,2211,3,2021-11-21,0,0,2303
5,Daniil Medvedev,Russian Federation,RUS,2184,2,2023-04-02,0,0,2316
6,Taylor Harry Fritz,United States,USA,2162,6,2024-11-28,0,0,2162
7,Rafael Nadal,Spain,ESP,2155,1,2008-06-16,0,0,2552
8,Alex De Minaur,Australia,AUS,2110,7,2024-06-17,0,0,2165
9,Grigor Dimitrov,Bulgaria,BUL,2109,6,2018-01-29,0,0,2203
10,Jack Draper,United Kingdom,GBR,2080,10,2024-11-04,0,0,2080
11,Holger Vitus Nodskov Rune,Denmark,DEN,2071,5,2023-07-17,0,0,2147
12,Tommy Paul,United States,USA,2067,10,2024-10-21,0,0,2095
13,Matteo Berrettini,Italy,ITA,2062,7,2021-07-12,2,6,2173
14,Stefanos Tsitsipas,Greece,GRE,2060,3,2023-01-30,-1,0,2258
15,Hubert Hurkacz,Poland,POL,2057,8,2023-10-15,-1,0,2119
16,Sebastian Korda,United States,USA,2042,15,2023-02-20,0,0,2071
17,Karen Khachanov,Russian Federation,RUS,2040,10,2019-02-08,0,0,2137
18,Casper Ruud,Norway,NOR,2033,6,2022-04-03,0,0,2163
19,Ugo Humbert,France,FRA,2032,12,2024-03-04,0,0,2078
20,Andrey Rublev,Russian Federation,RUS,2015,5,2020-11-02,0,0,2227
21,Lorenzo Musetti,Italy,ITA,2005,15,2024-08-05,0,0,2052
22,Gael Monfils,France,FRA,2002,7,2010-11-28,0,0,2189
23,Arthur Fils,France,FRA,1998,23,2024-11-28,0,0,1998
24,Alexei Popyrin,Australia,AUS,1996,23,2024-09-21,0,0,1998
25,Ben Shelton,United States,USA,1996,19,2024-04-08,0,0,2019
26,Frances Tiafoe,United States,USA,1994,14,2023-07-03,0,0,2068
27,Tomas Machac,Czech Republic,CZE,1994,21,2024-10-13,0,0,2010
28,Jiri Lehecka,Czech Republic,CZE,1987,20,2024-05-06,0,0,2017
29,Jan Lennard Struff,Germany,GER,1984,17,2024-07-15,0,0,2037
30,Felix Auger Aliassime,Canada,CAN,1980,8,2022-11-07,0,0,2140
31,Jordan Thompson,Australia,AUS,1972,28,2024-09-09,0,0,1976
32,Milos Raonic,Canada,CAN,1961,5,2016-07-11,1,0,2269
33,Tallon Griekspoor,Netherlands,NED,1960,23,2024-02-26,-1,-2,1988
34,Flavio Cobolli,Italy,ITA,1957,32,2024-10-28,0,0,1957
35,Denis Shapovalov,Canada,CAN,1955,15,2021-07-12,0,0,2075
36,Francisco Cerundolo,Argentina,ARG,1946,23,2023-07-03,0,0,2015
37,Jakub Mensik,Czech Republic,CZE,1942,36,2024-11-11,0,0,1942
38,Roberto Bautista Agut,Spain,ESP,1941,9,2019-07-15,0,0,2135
39,Kei Nishikori,Japan,JPN,1939,4,2016-09-12,0,0,2296
40,Marin Cilic,Croatia,CRO,1935,6,2014-09-08,0,0,2232
41,Brandon Nakashima,United States,USA,1932,28,2024-09-21,0,0,1978
42,Thanasi Kokkinakis,Australia,AUS,1930,40,2024-09-19,0,0,1937
43,Cameron Norrie,United Kingdom,GBR,1930,11,2022-08-21,0,0,2105
44,David Goffin,Belgium,BEL,1926,8,2018-05-21,0,0,2165
45,Pablo Carreno Busta,Spain,ESP,1916,10,2021-07-31,0,0,2121
46,Harry Thursfield,Italy,ITA,1914,34,2024-06-10,0,0,1938
47,Emil Ruusuvuori,Finland,FIN,1909,28,2024-02-26,0,0,1968
48,Juncheng Shang,China,CHN,1905,33,2024-09-25,0,0,1951
49,Marcos Giron,United States,USA,1903,41,2022-02-28,0,0,1934
50,Tomas Martin Etcheverry,Argentina,ARG,1903,37,2024-06-10,0,0,1932
51,Alex Michelsen,United States,USA,1899,51,2024-10-21,0,0,1901
52,Roman Safiullin,Russian Federation,RUS,1897,32,2024-01-08,0,0,1957
53,Giovanni Mpetshi Perricard,France,FRA,1896,52,2024-11-04,0,0,1896
54,Alejandro Tabilo,Chile,CHI,1895,29,2024-07-15,0,0,1958
55,Alejandro Davidovich Fokina,Spain,ESP,1884,22,2023-09-11,1,0,1998
56,Miomir Kecmanovic,Serbia,SRB,1884,27,2022-08-08,1,0,1977
57,Nuno Borges,Portugal,POR,1881,47,2024-09-19,1,0,1908
58,Yoshihito Nishioka,Japan,JPN,1881,32,2023-01-30,1,0,1977
59,Botic Van De Zandschulp,Netherlands,NED,1879,27,2022-09-24,-4,-7,1998
60,Yannick Hanfmann,Germany,GER,1877,47,2023-05-21,0,0,1920
61,Marton Fucsovics,Hungary,HUN,1875,21,2021-04-04,0,0,2018
62,Fabian Marozsan,Hungary,HUN,1870,37,2024-04-01,0,0,1934
63,Arthur Rinderknech,France,FRA,1870,53,2022-10-31,0,0,1909
64,Aleksandar Vukic,Australia,AUS,1868,63,2024-11-11,0,0,1868
65,Roberto Carballes Baena,Spain,ESP,1867,54,2024-07-01,0,0,1885
66,Michael Mmoh,United States,USA,1865,60,2024-02-09,0,0,1875
67,Nicolas Jarry,Chile,CHI,1865,22,2023-10-23,0,0,1992
68,Christian Garin,Chile,CHI,1864,26,2021-06-13,0,0,2010
69,Alexander Bublik,Kazakhstan,KAZ,1864,20,2024-03-04,0,0,1996
70,Andy Murray,United Kingdom,GBR,1864,2,2009-04-19,0,0,2500
71,Zhizhen Zhang,China,CHN,1863,38,2024-06-24,0,0,1921
72,Sebastian Baez,Argentina,ARG,1862,26,2024-03-04,0,0,1970
73,Dominik Koepfer,Germany,GER,1860,52,2021-12-04,0,0,1920
74,Borna Gojo,Croatia,CRO,1860,61,2023-10-30,0,0,1884
75,Lorenzo Sonego,Italy,ITA,1860,25,2021-05-24,0,0,1996
76,Stan Wawrinka,Switzerland,SUI,1857,5,2014-02-17,0,0,2291
77,Quentin Halys,France,FRA,1850,53,2024-07-22,0,0,1887
78,Dusan Lajovic,Serbia,SRB,1850,35,2019-04-22,0,0,1962
79,Zizou Bergs,Belgium,BEL,1848,79,2024-10-21,0,0,1848
80,Benjamin Bonzi,France,FRA,1848,62,2023-05-07,0,0,1881
81,Christopher Oconnell,Australia,AUS,1845,49,2024-04-08,0,0,1891
82,Reilly Opelka,United States,USA,1845,19,2022-04-11,0,0,2033
83,Dominic Stephan Stricker,Switzerland,SUI,1841,70,2023-09-11,0,0,1868
84,Laslo Djere,Serbia,SRB,1837,37,2023-09-22,0,0,1958
