server_name,random_intercept,model,year,group,label
Matteo Berrettini,-0.265265561974796,m_first_2021,2021,m_first,Below_2SD
Alejandro Davidovich Fokina,0,m_first_2022,2022,m_first,Above_2SD
Alexander Bublik,0,m_first_2022,2022,m_first,Above_2SD
Andrey Rublev,0,m_first_2022,2022,m_first,Above_2SD
Arthur Rinderknech,0,m_first_2022,2022,m_first,Above_2SD
Ben Shelton,0,m_first_2022,2022,m_first,Above_2SD
Botic van De Zandschulp,0,m_first_2022,2022,m_first,Above_2SD
Brandon Nakashima,0,m_first_2022,2022,m_first,Above_2SD
Carlos Alcaraz,0,m_first_2022,2022,m_first,Above_2SD
Casper Ruud,0,m_first_2022,2022,m_first,Above_2SD
Christopher Eubanks,0,m_first_2022,2022,m_first,Above_2SD
Corentin Moutet,0,m_first_2022,2022,m_first,Above_2SD
Daniel Altmaier,0,m_first_2022,2022,m_first,Above_2SD
Daniel Evans,0,m_first_2022,2022,m_first,Above_2SD
Daniil Medvedev,0,m_first_2022,2022,m_first,Above_2SD
David Goffin,0,m_first_2022,2022,m_first,Above_2SD
Denis Shapovalov,0,m_first_2022,2022,m_first,Above_2SD
Federico Coria,0,m_first_2022,2022,m_first,Above_2SD
Frances Tiafoe,0,m_first_2022,2022,m_first,Above_2SD
Grigor Dimitrov,0,m_first_2022,2022,m_first,Above_2SD
Hugo Gaston,0,m_first_2022,2022,m_first,Above_2SD
Jack Draper,0,m_first_2022,2022,m_first,Above_2SD
James Duckworth,0,m_first_2022,2022,m_first,Above_2SD
Jannik Sinner,0,m_first_2022,2022,m_first,Above_2SD
Jordan Thompson,0,m_first_2022,2022,m_first,Above_2SD
Karen Khachanov,0,m_first_2022,2022,m_first,Above_2SD
Laslo Djere,0,m_first_2022,2022,m_first,Above_2SD
Lorenzo Musetti,0,m_first_2022,2022,m_first,Above_2SD
Lorenzo Sonego,0,m_first_2022,2022,m_first,Above_2SD
Marcos Giron,0,m_first_2022,2022,m_first,Above_2SD
Matteo Berrettini,0,m_first_2022,2022,m_first,Above_2SD
Nicolas Jarry,0,m_first_2022,2022,m_first,Above_2SD
Nuno Borges,0,m_first_2022,2022,m_first,Above_2SD
Pavel Kotov,0,m_first_2022,2022,m_first,Above_2SD
Pedro Martinez,0,m_first_2022,2022,m_first,Above_2SD
Roberto Carballes Baena,0,m_first_2022,2022,m_first,Above_2SD
Sebastian Baez,0,m_first_2022,2022,m_first,Above_2SD
Sebastian Korda,0,m_first_2022,2022,m_first,Above_2SD
Stan Wawrinka,0,m_first_2022,2022,m_first,Above_2SD
Tallon Griekspoor,0,m_first_2022,2022,m_first,Above_2SD
Thiago Monteiro,0,m_first_2022,2022,m_first,Above_2SD
Tomas Machac,0,m_first_2022,2022,m_first,Above_2SD
Tommy Paul,0,m_first_2022,2022,m_first,Above_2SD
Carlos Alcaraz,0.22463074803116,m_first_2023,2023,m_first,Above_2SD
Novak Djokovic,0.270432506868347,m_first_2023,2023,m_first,Above_2SD
Alexandre Muller,0.00420438717414392,m_first_2024,2024,m_first,Above_2SD
Brandon Nakashima,-0.00435985190356959,m_first_2024,2024,m_first,Below_2SD
Daniil Medvedev,-0.00627597582482948,m_first_2024,2024,m_first,Below_2SD
Grigor Dimitrov,0.0056107074584486,m_first_2024,2024,m_first,Above_2SD
