server_name,random_intercept,model,year,group
Alexander Bublik,0.0457285124651359,m_first_2021,2021,m_first
Alexander Zverev,0.183696655157436,m_first_2021,2021,m_first
Aljaz Bedene,0.0116082823673044,m_first_2021,2021,m_first
Andrey Rublev,-0.0911005150269763,m_first_2021,2021,m_first
Andy Murray,-0.130340501483849,m_first_2021,2021,m_first
Benoit Paire,-0.137497441272482,m_first_2021,2021,m_first
Botic Van De Zandschulp,0.0852300112849306,m_first_2021,2021,m_first
Cameron Norrie,0.0570447908188764,m_first_2021,2021,m_first
Carlos Alcaraz,-0.0998127309532328,m_first_2021,2021,m_first
Casper Ruud,0.0793161742690937,m_first_2021,2021,m_first
Cristian Garin,-0.0302264055782949,m_first_2021,2021,m_first
Daniel Evans,0.0766373196536629,m_first_2021,2021,m_first
Daniil Medvedev,0.0867816254673508,m_first_2021,2021,m_first
Denis Kudla,-0.0230096485732617,m_first_2021,2021,m_first
Denis Shapovalov,-0.026927213747901,m_first_2021,2021,m_first
Diego Schwartzman,0.142848895876423,m_first_2021,2021,m_first
Dominik Koepfer,-0.0672428306930965,m_first_2021,2021,m_first
Dusan Lajovic,-0.0832867055756587,m_first_2021,2021,m_first
Fabio Fognini,-0.0397332559641594,m_first_2021,2021,m_first
Federico Delbonis,-0.0529735939963918,m_first_2021,2021,m_first
Feliciano Lopez,0.0111805641153144,m_first_2021,2021,m_first
Frances Tiafoe,-0.0689470015781061,m_first_2021,2021,m_first
Grigor Dimitrov,0.0484719767119333,m_first_2021,2021,m_first
Guido Pella,0.0525844162595509,m_first_2021,2021,m_first
Hubert Hurkacz,-0.0212654263491989,m_first_2021,2021,m_first
Ilya Ivashka,-0.0578449967727412,m_first_2021,2021,m_first
James Duckworth,0.0680863012497949,m_first_2021,2021,m_first
Jannik Sinner,-0.0534176015365798,m_first_2021,2021,m_first
John Isner,0.086773755047766,m_first_2021,2021,m_first
John Millman,0.00375628451763996,m_first_2021,2021,m_first
Jordan Thompson,0.0730648828989718,m_first_2021,2021,m_first
Karen Khachanov,-0.108717151612954,m_first_2021,2021,m_first
Kei Nishikori,-0.0844646711799937,m_first_2021,2021,m_first
Kevin Anderson,-0.0287543740198101,m_first_2021,2021,m_first
Lloyd Harris,-0.113357939142214,m_first_2021,2021,m_first
Lorenzo Sonego,-0.0403129914335471,m_first_2021,2021,m_first
Lucas Pouille,-0.0605781622044049,m_first_2021,2021,m_first
Marin Cilic,-0.0319444997089919,m_first_2021,2021,m_first
Marton Fucsovics,-0.0100303046429628,m_first_2021,2021,m_first
Matteo Berrettini,-0.00784597978162714,m_first_2021,2021,m_first
Novak Djokovic,0.135769989227278,m_first_2021,2021,m_first
Pedro Martinez,-0.0161180585894002,m_first_2021,2021,m_first
Philipp Kohlschreiber,0.241721675691532,m_first_2021,2021,m_first
Richard Gasquet,0.00442047483285314,m_first_2021,2021,m_first
