server_name,n_models,avg_score,total_score
Novak Djokovic,4,1,4
Carlos Alcaraz,4,0.5,2
Denis Shapovalov,4,0.5,2
Elina Svitolina,4,0.5,2
Gael Monfils,4,0.5,2
Sloane Stephens,4,0.5,2
Andrey Rublev,4,0.25,1
Corentin Moutet,4,0.25,1
Frances Tiafoe,4,0.25,1
Madison Keys,4,0.25,1
Adam Walton,4,0,0
Adrian Mannarino,4,0,0
Ajla Tomljanovic,4,0,0
Alejandro Davidovich Fokina,4,0,0
Alejandro Tabilo,4,0,0
Aleksandar Kovacevic,4,0,0
Aleksandar Vukic,4,0,0
Alex Michelsen,4,0,0
Alex de Minaur,4,0,0
Alexander Bublik,4,0,0
Alexander Shevchenko,4,0,0
Alexander Zverev,4,0,0
Alexandre Muller,4,0,0
Alexei Popyrin,4,0,0
Amanda Anisimova,4,0,0
Ana Bogdan,4,0,0
Anastasia Pavlyuchenkova,4,0,0
Anastasia Potapova,4,0,0
Anhelina Kalinina,4,0,0
Anna Blinkova,4,0,0
Anna Bondar,4,0,0
Anna Kalinskaya,4,0,0
Arantxa Rus,4,0,0
Arthur Cazaux,4,0,0
Arthur Fils,4,0,0
Arthur Rinderknech,4,0,0
Aryna Sabalenka,4,0,0
Ashlyn Krueger,4,0,0
Beatriz Haddad Maia,4,0,0
Ben Shelton,4,0,0
Bernarda Pera,4,0,0
Bianca Andreescu,4,0,0
Borna Coric,4,0,0
Botic Van De Zandschulp,4,0,0
Botic van De Zandschulp,4,0,0
Brandon Nakashima,4,0,0
Caroline Dolehide,4,0,0
Caroline Garcia,4,0,0
Caroline Wozniacki,4,0,0
Casper Ruud,4,0,0
Christopher Eubanks,4,0,0
Coco Gauff,4,0,0
Constant Lestienne,4,0,0
Cristina Bucsa,4,0,0
Daniel Altmaier,4,0,0
Daniel Evans,4,0,0
Danielle Collins,4,0,0
Daniil Medvedev,4,0,0
Daria Kasatkina,4,0,0
David Goffin,4,0,0
Dayana Yastremska,4,0,0
Diana Shnaider,4,0,0
Diane Parry,4,0,0
Dominik Koepfer,4,0,0
Donna Vekic,4,0,0
Dusan Lajovic,4,0,0
Ekaterina Alexandrova,4,0,0
Elina Avanesyan,4,0,0
Elisabetta Cocciaretto,4,0,0
Elise Mertens,4,0,0
Emma Navarro,4,0,0
Emma Raducanu,4,0,0
Erika Andreeva,4,0,0
Eva Lys,4,0,0
Fabian Marozsan,4,0,0
Fabio Fognini,4,0,0
Facundo Diaz Acosta,4,0,0
Federico Coria,4,0,0
Flavio Cobolli,4,0,0
Francisco Cerundolo,4,0,0
Gabriel Diallo,4,0,0
Grigor Dimitrov,4,0,0
Hamad Medjedovic,4,0,0
Harriet Dart,4,0,0
Holger Rune,4,0,0
Hubert Hurkacz,4,0,0
Iga Swiatek,4,0,0
Jack Draper,4,0,0
Jakub Mensik,4,0,0
James Duckworth,4,0,0
Jasmine Paolini,4,0,0
Jelena Ostapenko,4,0,0
Jessica Bouzas Maneiro,4,0,0
Jiri Lehecka,4,0,0
Jordan Thompson,4,0,0
Jule Niemeier,4,0,0
Juncheng Shang,4,0,0
Kamilla Rakhimova,4,0,0
Karen Khachanov,4,0,0
Karolina Muchova,4,0,0
Katerina Siniakova,4,0,0
Katie Boulter,4,0,0
Katie Volynets,4,0,0
Laslo Djere,4,0,0
Lesia Tsurenko,4,0,0
Liudmila Samsonova,4,0,0
Lorenzo Musetti,4,0,0
Lorenzo Sonego,4,0,0
Luca Nardi,4,0,0
Lucia Bronzetti,4,0,0
Luciano Darderi,4,0,0
Mackenzie McDonald,4,0,0
Magdalena Frech,4,0,0
Marcos Giron,4,0,0
Mariano Navone,4,0,0
Marie Bouzkova,4,0,0
Marta Kostyuk,4,0,0
Martina Trevisan,4,0,0
Matteo Arnaldi,4,0,0
Matteo Berrettini,4,0,0
Mattia Bellucci,4,0,0
Max Purcell,4,0,0
Maximilian Marterer,4,0,0
Mayar Sherif,4,0,0
McCartney Kessler,4,0,0
Miomir Kecmanovic,4,0,0
Mirra Andreeva,4,0,0
Moyuka Uchijima,4,0,0
Nadia Podoroska,4,0,0
Nao Hibino,4,0,0
Naomi Osaka,4,0,0
Nicolas Jarry,4,0,0
Nuno Borges,4,0,0
Paula Badosa,4,0,0
Pavel Kotov,4,0,0
Pedro Martinez,4,0,0
Petra Martic,4,0,0
Peyton Stearns,4,0,0
Renata Zarazua,4,0,0
Rinky Hijikata,4,0,0
Roberto Bautista Agut,4,0,0
Roberto Carballes Baena,4,0,0
Roman Safiullin,4,0,0
Sara Errani,4,0,0
Sara Sorribes Tormo,4,0,0
Sebastian Baez,4,0,0
Sebastian Korda,4,0,0
Sebastian Ofner,4,0,0
Sofia Kenin,4,0,0
Stan Wawrinka,4,0,0
Stefanos Tsitsipas,4,0,0
Sumit Nagal,4,0,0
Tallon Griekspoor,4,0,0
Tamara Korpatsch,4,0,0
Tatjana Maria,4,0,0
Taylor Fritz,4,0,0
Taylor Townsend,4,0,0
Thanasi Kokkinakis,4,0,0
Thiago Monteiro,4,0,0
Thiago Seyboth Wild,4,0,0
Tomas Machac,4,0,0
Tommy Paul,4,0,0
Ugo Humbert,4,0,0
Varvara Gracheva,4,0,0
Veronika Kudermetova,4,0,0
Victoria Azarenka,4,0,0
Viktorija Golubic,4,0,0
Viktoriya Tomova,4,0,0
Yafan Wang,4,0,0
Yue Yuan,4,0,0
Yulia Putintseva,4,0,0
Yuliia Starodubtseva,4,0,0
Yunchaokete Bu,4,0,0
Zizou Bergs,4,0,0
Clara Tauson,4,-0.25,-1
Greet Minnen,4,-0.25,-1
Hugo Gaston,4,-0.25,-1
Jannik Sinner,4,-0.25,-1
Qinwen Zheng,4,-0.25,-1
Jessica Pegula,4,-0.5,-2
Clara Burel,4,-0.75,-3
