server_name,random_intercept,group,model,label
Adam Walton,0.0240641010158519,m_first,Speed_MPH_z,Average
Adrian Mannarino,-0.0263531396007985,m_first,Speed_MPH_z,Average
Alejandro Davidovich Fokina,0.0122348148584324,m_first,Speed_MPH_z,Average
Alejandro Tabilo,0.00731176360190441,m_first,Speed_MPH_z,Average
Aleksandar Kovacevic,0.0101968133501475,m_first,Speed_MPH_z,Average
Aleksandar Vukic,-0.0294714518364032,m_first,Speed_MPH_z,Average
Alex de Minaur,0.0304698265475664,m_first,Speed_MPH_z,Average
Alex Michelsen,-0.0425718636037257,m_first,Speed_MPH_z,Average
Alexander Bublik,0.0152195006034037,m_first,Speed_MPH_z,Average
Alexander Shevchenko,-0.0527810243976634,m_first,Speed_MPH_z,Average
Alexander Zverev,-0.0621479162183235,m_first,Speed_MPH_z,Average
Alexandre Muller,0.00855403611141402,m_first,Speed_MPH_z,Average
Alexei Popyrin,0.0773245414338191,m_first,Speed_MPH_z,Average
Andrey Rublev,0.106288786606818,m_first,Speed_MPH_z,Over-performer
Arthur Cazaux,0.00515502230996458,m_first,Speed_MPH_z,Average
Arthur Fils,0.0523147768424841,m_first,Speed_MPH_z,Average
Arthur Rinderknech,0.0173060207560141,m_first,Speed_MPH_z,Average
Ben Shelton,0.0545402231950418,m_first,Speed_MPH_z,Average
Borna Coric,-0.0659518152618505,m_first,Speed_MPH_z,Average
Botic van De Zandschulp,0.0510147217558532,m_first,Speed_MPH_z,Average
Botic Van De Zandschulp,-0.0381645528757808,m_first,Speed_MPH_z,Average
Brandon Nakashima,-0.0755050343722151,m_first,Speed_MPH_z,Average
Carlos Alcaraz,0.08668478294367,m_first,Speed_MPH_z,Average
Casper Ruud,-0.0264731075367468,m_first,Speed_MPH_z,Average
Christopher Eubanks,0.0321287262101167,m_first,Speed_MPH_z,Average
Constant Lestienne,-0.0394798251417859,m_first,Speed_MPH_z,Average
Corentin Moutet,0.0150650808204413,m_first,Speed_MPH_z,Average
Daniel Altmaier,-0.0104487841280722,m_first,Speed_MPH_z,Average
Daniel Evans,0.0441616610173224,m_first,Speed_MPH_z,Average
Daniil Medvedev,-0.0225330815343084,m_first,Speed_MPH_z,Average
David Goffin,0.0415068499120922,m_first,Speed_MPH_z,Average
Denis Shapovalov,0.103954916627684,m_first,Speed_MPH_z,Over-performer
Dominik Koepfer,-0.0722720459196672,m_first,Speed_MPH_z,Average
Dusan Lajovic,0.0120723604092063,m_first,Speed_MPH_z,Average
Fabian Marozsan,0.00914756937180072,m_first,Speed_MPH_z,Average
Fabio Fognini,0.00741462938443581,m_first,Speed_MPH_z,Average
Facundo Diaz Acosta,0.0102006996927447,m_first,Speed_MPH_z,Average
Federico Coria,-0.0500825726764952,m_first,Speed_MPH_z,Average
Flavio Cobolli,0.00576976140366291,m_first,Speed_MPH_z,Average
Frances Tiafoe,0.0866853121553558,m_first,Speed_MPH_z,Average
Francisco Cerundolo,0.0387463490856774,m_first,Speed_MPH_z,Average
Gabriel Diallo,-0.0508269319952719,m_first,Speed_MPH_z,Average
Gael Monfils,0.115849396183422,m_first,Speed_MPH_z,Over-performer
Grigor Dimitrov,0.0228907673550528,m_first,Speed_MPH_z,Average
Hamad Medjedovic,0.0303793588974644,m_first,Speed_MPH_z,Average
Holger Rune,-0.0109459407537665,m_first,Speed_MPH_z,Average
Hubert Hurkacz,-0.0104230991994937,m_first,Speed_MPH_z,Average
Hugo Gaston,-0.0693743619277046,m_first,Speed_MPH_z,Average
Jack Draper,-0.00457528399750809,m_first,Speed_MPH_z,Average
Jakub Mensik,-0.0587894193005451,m_first,Speed_MPH_z,Average
James Duckworth,-0.0251429640592368,m_first,Speed_MPH_z,Average
Jannik Sinner,-0.116111040948722,m_first,Speed_MPH_z,Under-performer
Jiri Lehecka,-0.0359932565888922,m_first,Speed_MPH_z,Average
Jordan Thompson,-0.0100621762694125,m_first,Speed_MPH_z,Average
Juncheng Shang,0.0644885041701394,m_first,Speed_MPH_z,Average
Karen Khachanov,0.00792100177915257,m_first,Speed_MPH_z,Average
Laslo Djere,-0.00443872318542683,m_first,Speed_MPH_z,Average
Lorenzo Musetti,-0.0513030141044627,m_first,Speed_MPH_z,Average
Lorenzo Sonego,-2.95149360575679e-06,m_first,Speed_MPH_z,Average
Luca Nardi,0.00604551365922311,m_first,Speed_MPH_z,Average
Luciano Darderi,-0.0241111344562643,m_first,Speed_MPH_z,Average
