server_name,random_intercept,group,model,rank,label
Adrian Mannarino,-0.071182928,m_first,Speed_MPH_z,115,Average
Alejandro Davidovich Fokina,0.036268426,m_first,Speed_MPH_z,32,Average
Alejandro Tabilo,0.035708161,m_first,Speed_MPH_z,33,Average
Aleksandar Kovacevic,0.005703909,m_first,Speed_MPH_z,56,Average
Aleksandar Vukic,-0.0552608,m_first,Speed_MPH_z,107,Average
Alex de Minaur,-0.009468162,m_first,Speed_MPH_z,68,Average
Alex De Minaur,-0.009045561,m_first,Speed_MPH_z,67,Average
Alex Molcan,0.003734121,m_first,Speed_MPH_z,58,Average
Alexander Bublik,0.09031389,m_first,Speed_MPH_z,10,Over-performer
Alexander Zverev,0.187851506,m_first,Speed_MPH_z,1,Over-performer
Alexandre Muller,0.021548292,m_first,Speed_MPH_z,43,Average
Alexei Popyrin,0.023064285,m_first,Speed_MPH_z,42,Average
Aljaz Bedene,-0.001734505,m_first,Speed_MPH_z,62,Average
Andrey Rublev,-0.027653587,m_first,Speed_MPH_z,87,Average
Andy Murray,0.090204366,m_first,Speed_MPH_z,11,Average
Arthur Fils,-0.151172736,m_first,Speed_MPH_z,127,Under-performer
Arthur Rinderknech,0.104845482,m_first,Speed_MPH_z,9,Over-performer
Aslan Karatsev,-0.038064487,m_first,Speed_MPH_z,98,Average
Ben Shelton,0.062041141,m_first,Speed_MPH_z,15,Average
Benoit Paire,-0.080850274,m_first,Speed_MPH_z,117,Average
Borna Coric,-0.080718928,m_first,Speed_MPH_z,116,Average
Botic van De Zandschulp,0.010664345,m_first,Speed_MPH_z,50,Average
Botic Van De Zandschulp,0.059828743,m_first,Speed_MPH_z,16,Average
Brandon Nakashima,0.115764895,m_first,Speed_MPH_z,8,Over-performer
Cameron Norrie,0.004793809,m_first,Speed_MPH_z,57,Average
Carlos Alcaraz,-0.110717865,m_first,Speed_MPH_z,123,Under-performer
Casper Ruud,0.020926026,m_first,Speed_MPH_z,44,Average
Christopher Eubanks,-0.143211401,m_first,Speed_MPH_z,126,Under-performer
Cristian Garin,-0.02068154,m_first,Speed_MPH_z,78,Average
Daniel Evans,0.058214585,m_first,Speed_MPH_z,17,Average
Daniil Medvedev,-0.032921846,m_first,Speed_MPH_z,94,Average
David Goffin,0.036532481,m_first,Speed_MPH_z,31,Average
Denis Kudla,-0.015399938,m_first,Speed_MPH_z,74,Average
Denis Shapovalov,0.007580891,m_first,Speed_MPH_z,55,Average
Diego Schwartzman,0.044492752,m_first,Speed_MPH_z,23,Average
Dominic Stricker,0.044922242,m_first,Speed_MPH_z,22,Average
Dominic Thiem,0.030177483,m_first,Speed_MPH_z,37,Average
Dominik Koepfer,-0.03575049,m_first,Speed_MPH_z,97,Average
Dusan Lajovic,-0.030217048,m_first,Speed_MPH_z,92,Average
Elias Ymer,-0.03106648,m_first,Speed_MPH_z,93,Average
Emil Ruusuvuori,0.050316652,m_first,Speed_MPH_z,21,Average
Fabian Marozsan,-0.065053138,m_first,Speed_MPH_z,109,Average
