"cluster","n","WBC_DNCTL","WBW_DNCTL","WB_DNCTL","WC_DNCTL"
"1",6,0.352941176470588,0,0.352941176470588,0
"1",4,0,0.235294117647059,0,0
"1",1,0,0,0,0.0588235294117647
"2",14,0.424242424242424,0,0,0
"2",13,0,0.393939393939394,0,0
"2",4,0,0,0.121212121212121,0
"2",2,0,0,0,0.0606060606060606
"3",12,0.387096774193548,0,0,0
"3",9,0,0.290322580645161,0.290322580645161,0
"3",1,0,0,0,0.032258064516129
"4",2,0.153846153846154,0,0.153846153846154,0
"4",8,0,0.615384615384615,0,0
"4",1,0,0,0,0.0769230769230769
