"Feature","Gain","Cover","Frequency"
"avg_speed",0.300595652481119,0.206069566960706,0.274401473296501
"sd_speed",0.140467978637559,0.11678027265437,0.191528545119705
"modal_locationWB_DNCTL",0.10695425438973,0.0518995589414595,0.0294659300184162
"location_entropy",0.0920485968919835,0.175195469125902,0.176795580110497
"cluster3.avg_speed",0.0898096770721712,0.0806936647955092,0.0515653775322284
"cluster3.modal_locationWC_DNCTL",0.0434111698676481,0.0488171611868484,0.0294659300184162
"cluster3.location_entropy",0.0389904953991066,0.0754310344827586,0.0515653775322284
"cluster3.sd_speed",0.034796207098902,0.0609963913392141,0.0386740331491713
"cluster2.modal_locationWB_DNCTL",0.0333679397436773,0.0268644747393745,0.0147329650092081
"cluster2.sd_speed",0.028979919543587,0.0226293103448276,0.0165745856353591
"cluster4.avg_speed",0.025866098167893,0.0363121491579792,0.0257826887661142
"cluster2.avg_speed",0.0211372417459315,0.03160084202085,0.0184162062615101
"modal_locationWBW_DNCTL",0.0157180831869752,0.0309743384121893,0.0276243093922652
"cluster4.location_entropy",0.0133581157208507,0.0119286287089014,0.00920810313075507
"cluster2.location_entropy",0.00334385761846591,0.00656575781876504,0.00368324125230203
"cluster4.sd_speed",0.00311716543794409,0.0135575380914194,0.00920810313075507
"cluster1",0.00290282204619554,0.00142842822774659,0.00736648250460405
"modal_locationWBC_DNCTL",0.00225635821222268,0.000651563753007217,0.00552486187845304
"cluster3.modal_locationWBW_DNCTL",0.00156279300520021,0.00052626303127506,0.00184162062615101
"cluster4",0.000576484122074807,0.000150360866078589,0.00184162062615101
"cluster2.modal_locationWBW_DNCTL",0.000488060442273761,0.000275661587810746,0.00184162062615101
"cluster2",0.000175242572597135,0.000601443464314354,0.0110497237569061
"cluster3",7.57865958915865e-05,5.01202886928629e-05,0.00184162062615101
