"match_id","slam","year","SetNo","GameNo","PointNumber","player1","player2","Speed_MPH","ServeNumber","PointServer","PointWinner","ServeWidth","ServeDepth","RallyCount","P1DistanceRun","P2DistanceRun","P1Score","P2Score","state","GameWinner","serving_player_won","speed_ratio","P1BreakPoint","P2BreakPoint","P1GamesWon","P2GamesWon","importance","P1Ace","P2Ace","P1DoubleFault","P2DoubleFault","player1_name","player2_name","player1_avg_welo","player2_avg_welo","ElapsedSeconds"
"2022-usopen-2101","usopen",2022,1,1,"1","Iga Swiatek","Jasmine Paolini",80,2,2,2,"C","NCTL",3,11.708,12.972,"0","15","15-0",0,1,0.854700854700855,0,0,0,0,0.266804360137777,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,0
"2022-usopen-2101","usopen",2022,1,1,"2","Iga Swiatek","Jasmine Paolini",90,1,2,2,"BW","NCTL",9,27.37,28.098,"0","30","30-0",0,1,0.961538461538462,0,0,0,0,0.565546247507422,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,27
"2022-usopen-2101","usopen",2022,1,1,"3","Iga Swiatek","Jasmine Paolini",83,2,2,2,"BC","CTL",5,24.708,28.947,"0","40","40-0",0,1,0.886752136752137,0,0,0,0,0.837142183250389,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,59
"2022-usopen-2101","usopen",2022,1,1,"4","Iga Swiatek","Jasmine Paolini",93,1,2,1,"W","CTL",6,17.564,24.09,"15","40","40-15",0,0,0.993589743589744,0,0,0,0,0.29139153972111,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,98
"2022-usopen-2101","usopen",2022,1,1,"5","Iga Swiatek","Jasmine Paolini",99,1,2,2,"BC","NCTL",7,21.702,18.231,"0","0","0-0",2,1,1.05769230769231,0,0,0,1,0.0101397905989895,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,128
"2022-usopen-2101","usopen",2022,1,2,"6","Iga Swiatek","Jasmine Paolini",94,1,1,1,"W","CTL",1,0.783,0.507,"15","0","15-0",0,1,1.00988397077783,0,0,0,1,0.266804360137777,1,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,203
"2022-usopen-2101","usopen",2022,1,2,"7","Iga Swiatek","Jasmine Paolini",79,2,1,1,"B","NCTL",5,16.756,18.419,"30","0","30-0",0,1,0.848732273313279,0,0,0,1,0.565546247507422,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,225
"2022-usopen-2101","usopen",2022,1,2,"8","Iga Swiatek","Jasmine Paolini",99,1,1,1,"W","NCTL",1,5.4,5.666,"40","0","40-0",0,1,1.06360120326601,0,0,0,1,0.837142183250389,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,270
"2022-usopen-2101","usopen",2022,1,2,"9","Iga Swiatek","Jasmine Paolini",107,1,1,1,"BC","CTL",3,15.972,14.62,"0","0","0-0",1,1,1.1495487752471,0,0,1,1,0.0101397905989895,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,294
"2022-usopen-2101","usopen",2022,1,3,"10","Iga Swiatek","Jasmine Paolini",70,1,2,1,"C","NCTL",8,22.354,28.835,"15","0","0-15",0,0,0.747863247863248,0,0,1,1,0.261019313216715,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,329
"2022-usopen-2101","usopen",2022,1,3,"11","Iga Swiatek","Jasmine Paolini",75,2,2,1,"BW","NCTL",4,17.216,21.537,"30","0","0-30",0,0,0.801282051282051,0,0,1,1,0.546498683163542,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,360
"2022-usopen-2101","usopen",2022,1,3,"12","Iga Swiatek","Jasmine Paolini",83,2,2,1,"C","NCTL",2,6.992,7.53,"40","0","0-40",0,0,0.886752136752137,0,0,1,1,0.821438991687667,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,398
"2022-usopen-2101","usopen",2022,1,3,"13","Iga Swiatek","Jasmine Paolini",87,1,2,1,"C","NCTL",4,13.603,12.48,"0","0","0-0",1,0,0.92948717948718,1,0,2,1,0.0101397905989895,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,436
"2022-usopen-2101","usopen",2022,1,4,"14","Iga Swiatek","Jasmine Paolini",82,2,1,2,"C","NCTL",2,4.105,3.917,"0","15","0-15",0,0,0.880962612806188,0,0,2,1,0.261019313216715,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,554
"2022-usopen-2101","usopen",2022,1,4,"15","Iga Swiatek","Jasmine Paolini",101,1,1,1,"BC","NCTL",7,20.676,22.576,"15","15","15-15",0,1,1.08508809626128,0,0,2,1,0.0015964639514866,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,592
"2022-usopen-2101","usopen",2022,1,4,"16","Iga Swiatek","Jasmine Paolini",86,2,1,2,"BC","NCTL",4,10.577,11.643,"15","30","15-30",0,0,0.923936398796734,0,0,2,1,0.10761639432791,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,627
"2022-usopen-2101","usopen",2022,1,4,"17","Iga Swiatek","Jasmine Paolini",75,2,1,1,"BW","CTL",1,3.601,4.185,"30","30","30-30",0,1,0.805758487322733,0,0,2,1,0.00503192684714582,0,0,0,0,"swiatek i.","paolini j.",1556.9649841369,1536.78667113878,676
