server_name,random_intercept,group,model,label
Adrian Mannarino,-0.0711829279638741,m_first,Speed_MPH_z,Average
Alejandro Davidovich Fokina,0.0362684263803581,m_first,Speed_MPH_z,Average
Alejandro Tabilo,0.0357081610569905,m_first,Speed_MPH_z,Average
Aleksandar Kovacevic,0.00570390931873391,m_first,Speed_MPH_z,Average
Aleksandar Vukic,-0.0552607997437267,m_first,Speed_MPH_z,Average
Alex de Minaur,-0.0094681621311869,m_first,Speed_MPH_z,Average
Alex De Minaur,-0.00904556125986662,m_first,Speed_MPH_z,Average
Alex Molcan,0.00373412053743933,m_first,Speed_MPH_z,Average
Alexander Bublik,0.0903138900544435,m_first,Speed_MPH_z,Average
Alexander Zverev,0.187851505875655,m_first,Speed_MPH_z,Over-performer
Alexandre Muller,0.0215482922200319,m_first,Speed_MPH_z,Average
Alexei Popyrin,0.0230642847980941,m_first,Speed_MPH_z,Average
Aljaz Bedene,-0.00173450518005848,m_first,Speed_MPH_z,Average
Andrey Rublev,-0.0276535871420621,m_first,Speed_MPH_z,Average
Andy Murray,0.0902043655306356,m_first,Speed_MPH_z,Average
Arthur Fils,-0.15117273623135,m_first,Speed_MPH_z,Under-performer
Arthur Rinderknech,0.104845481568147,m_first,Speed_MPH_z,Average
Aslan Karatsev,-0.0380644871739225,m_first,Speed_MPH_z,Average
Ben Shelton,0.0620411405381267,m_first,Speed_MPH_z,Average
Benoit Paire,-0.0808502744353981,m_first,Speed_MPH_z,Average
Borna Coric,-0.0807189282337559,m_first,Speed_MPH_z,Average
Botic van De Zandschulp,0.0106643454633564,m_first,Speed_MPH_z,Average
Botic Van De Zandschulp,0.0598287432171852,m_first,Speed_MPH_z,Average
Brandon Nakashima,0.115764895283103,m_first,Speed_MPH_z,Average
Cameron Norrie,0.00479380926944248,m_first,Speed_MPH_z,Average
Carlos Alcaraz,-0.110717864602604,m_first,Speed_MPH_z,Average
Casper Ruud,0.0209260260714339,m_first,Speed_MPH_z,Average
Christopher Eubanks,-0.14321140098915,m_first,Speed_MPH_z,Under-performer
Cristian Garin,-0.0206815398148237,m_first,Speed_MPH_z,Average
Daniel Evans,0.0582145848579564,m_first,Speed_MPH_z,Average
Daniil Medvedev,-0.0329218462291223,m_first,Speed_MPH_z,Average
David Goffin,0.0365324806029276,m_first,Speed_MPH_z,Average
Denis Kudla,-0.0153999380497396,m_first,Speed_MPH_z,Average
Denis Shapovalov,0.00758089100258109,m_first,Speed_MPH_z,Average
Diego Schwartzman,0.0444927523459692,m_first,Speed_MPH_z,Average
Dominic Stricker,0.0449222423428925,m_first,Speed_MPH_z,Average
Dominic Thiem,0.0301774832842941,m_first,Speed_MPH_z,Average
Dominik Koepfer,-0.0357504895354359,m_first,Speed_MPH_z,Average
Dusan Lajovic,-0.0302170479800809,m_first,Speed_MPH_z,Average
Elias Ymer,-0.0310664795215609,m_first,Speed_MPH_z,Average
Emil Ruusuvuori,0.0503166523508915,m_first,Speed_MPH_z,Average
Fabian Marozsan,-0.0650531383228473,m_first,Speed_MPH_z,Average
Fabio Fognini,-0.0242683873904984,m_first,Speed_MPH_z,Average
Facundo Diaz Acosta,-0.0962692657933829,m_first,Speed_MPH_z,Average
Federico Delbonis,-0.0255557998730117,m_first,Speed_MPH_z,Average
Feliciano Lopez,0.00834131836150612,m_first,Speed_MPH_z,Average
Frances Tiafoe,0.0318246472483165,m_first,Speed_MPH_z,Average
Francisco Cerundolo,0.0428992474012927,m_first,Speed_MPH_z,Average
Gael Monfils,0.035477501003662,m_first,Speed_MPH_z,Average
Gijs Brouwer,0.0565754097417883,m_first,Speed_MPH_z,Average
Grigor Dimitrov,0.18606743724125,m_first,Speed_MPH_z,Over-performer
Guido Pella,0.0392002944299219,m_first,Speed_MPH_z,Average
Holger Rune,0.00890147401752027,m_first,Speed_MPH_z,Average
Hubert Hurkacz,0.0440405202786783,m_first,Speed_MPH_z,Average
Hugo Dellien,-0.09524977278233,m_first,Speed_MPH_z,Average
Ilya Ivashka,-0.0477434428504409,m_first,Speed_MPH_z,Average
Jack Draper,0.0629899953405381,m_first,Speed_MPH_z,Average
Jack Sock,-0.0466396858084923,m_first,Speed_MPH_z,Average
