rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Novak Djokovic,Serbia,SRB,2417,1,2011-03-21,0,0,2629
2,Rafael Nadal,Spain,ESP,2311,1,2008-06-16,0,0,2552
3,Alexander Zverev,Germany,GER,2237,3,2021-11-21,0,0,2303
4,Carlos Alcaraz Garfia,Spain,ESP,2191,1,2024-07-15,0,0,2348
5,Daniil Medvedev,Russian Federation,RUS,2185,2,2023-04-02,0,0,2316
6,Nick Kyrgios,Australia,AUS,2159,6,2022-08-15,0,0,2176
7,Stefanos Tsitsipas,Greece,GRE,2153,3,2023-01-30,0,0,2258
8,Felix Auger Aliassime,Canada,CAN,2140,8,2022-11-07,1,7,2140
9,Casper Ruud,Norway,NOR,2134,6,2022-04-03,-1,0,2163
10,Matteo Berrettini,Italy,ITA,2130,7,2021-07-12,0,0,2173
11,Andrey Rublev,Russian Federation,RUS,2122,5,2020-11-02,0,0,2227
12,Jannik Sinner,Italy,ITA,2117,1,2024-06-24,0,0,2414
13,Holger Vitus Nodskov Rune,Denmark,DEN,2089,5,2023-07-17,0,0,2147
14,Taylor Harry Fritz,United States,USA,2089,6,2024-11-28,0,0,2162
15,Hubert Hurkacz,Poland,POL,2060,8,2023-10-15,0,0,2119
16,Cameron Norrie,United Kingdom,GBR,2049,11,2022-08-21,0,0,2105
17,Karen Khachanov,Russian Federation,RUS,2045,10,2019-02-08,1,0,2137
18,Alex De Minaur,Australia,AUS,2040,7,2024-06-17,-1,-8,2165
19,Dominic Thiem,Austria,AUT,2036,4,2020-02-03,0,0,2250
20,Borna Coric,Croatia,CRO,2036,13,2019-01-07,0,0,2102
21,Marin Cilic,Croatia,CRO,2033,6,2014-09-08,0,0,2232
22,Frances Tiafoe,United States,USA,2025,14,2023-07-03,0,0,2068
23,Gael Monfils,France,FRA,2023,7,2010-11-28,0,0,2189
24,Pablo Carreno Busta,Spain,ESP,2021,10,2021-07-31,0,0,2121
25,Tommy Paul,United States,USA,2012,10,2024-10-21,0,0,2095
26,Andy Murray,United Kingdom,GBR,2007,2,2009-04-19,0,0,2500
27,Sebastian Korda,United States,USA,2007,15,2023-02-20,0,0,2071
28,Roberto Bautista Agut,Spain,ESP,2004,9,2019-07-15,0,0,2135
29,John Isner,United States,USA,1995,10,2012-04-13,0,0,2147
30,Denis Shapovalov,Canada,CAN,1992,15,2021-07-12,1,7,2075
31,Grigor Dimitrov,Bulgaria,BUL,1985,6,2018-01-29,-1,0,2203
32,Lorenzo Musetti,Italy,ITA,1975,15,2024-08-05,0,0,2052
33,Ilya Ivashka,Belarus,BLR,1968,29,2021-09-13,0,0,1987
34,Botic Van De Zandschulp,Netherlands,NED,1961,27,2022-09-24,0,0,1998
35,Miomir Kecmanovic,Serbia,SRB,1956,27,2022-08-08,0,0,1977
36,Stan Wawrinka,Switzerland,SUI,1955,5,2014-02-17,0,0,2291
37,Daniel Evans,United Kingdom,GBR,1954,25,2021-02-08,0,0,2002
38,Richard Gasquet,France,FRA,1954,9,2007-10-08,0,0,2196
39,Alexander Bublik,Kazakhstan,KAZ,1950,20,2024-03-04,0,0,1996
40,Reilly Opelka,United States,USA,1950,19,2022-04-11,0,0,2033
41,Brandon Nakashima,United States,USA,1945,28,2024-09-21,0,0,1978
42,Diego Sebastian Schwartzman,Argentina,ARG,1941,11,2020-11-02,0,0,2097
43,Mikael Ymer,Sweden,SWE,1938,42,2023-02-10,0,0,1938
44,Filip Krajinovic,Serbia,SRB,1936,25,2020-08-31,0,0,2033
45,Kevin Anderson,South Africa,RSA,1928,6,2019-04-15,0,0,2181
46,Jack Draper,United Kingdom,GBR,1922,10,2024-11-04,0,0,2080
