rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Novak Djokovic,Serbia,SRB,2382,1,2011-03-21,0,-2,2629
2,Rafael Nadal,Spain,ESP,2376,1,2008-06-16,0,27,2552
3,Roger Federer,Switzerland,SUI,2302,1,2003-08-11,0,0,2550
4,Daniil Medvedev,Russian Federation,RUS,2240,2,2023-04-02,0,-16,2316
5,Stefanos Tsitsipas,Greece,GRE,2209,3,2023-01-30,1,6,2258
6,Alexander Zverev,Germany,GER,2200,3,2021-11-21,1,1,2303
7,Dominic Thiem,Austria,AUT,2192,4,2020-02-03,-2,-12,2250
8,Andrey Rublev,Russian Federation,RUS,2189,5,2020-11-02,0,-7,2227
9,Andy Murray,United Kingdom,GBR,2121,2,2009-04-19,0,0,2500
10,Matteo Berrettini,Italy,ITA,2097,7,2021-07-12,0,2,2173
11,Milos Raonic,Canada,CAN,2093,5,2016-07-11,0,0,2269
12,Nick Kyrgios,Australia,AUS,2079,6,2022-08-15,0,0,2176
13,Pablo Carreno Busta,Spain,ESP,2069,10,2021-07-31,0,-1,2121
14,Roberto Bautista Agut,Spain,ESP,2068,9,2019-07-15,0,6,2135
15,Stan Wawrinka,Switzerland,SUI,2059,5,2014-02-17,0,0,2291
16,Jannik Sinner,Italy,ITA,2056,1,2024-06-24,0,4,2414
17,Kei Nishikori,Japan,JPN,2050,4,2016-09-12,1,6,2296
18,Kevin Anderson,South Africa,RSA,2045,6,2019-04-15,-1,0,2181
19,Casper Ruud,Norway,NOR,2035,6,2022-04-03,1,0,2163
20,Grigor Dimitrov,Bulgaria,BUL,2031,6,2018-01-29,-1,-13,2203
21,Diego Sebastian Schwartzman,Argentina,ARG,2011,11,2020-11-02,0,-12,2097
22,John Isner,United States,USA,2007,10,2012-04-13,1,0,2147
23,Gael Monfils,France,FRA,2001,7,2010-11-28,-1,-12,2189
24,Borna Coric,Croatia,CRO,1998,13,2019-01-07,3,0,2102
25,Denis Shapovalov,Canada,CAN,1996,15,2021-07-12,5,6,2075
26,Lorenzo Sonego,Italy,ITA,1996,25,2021-05-24,16,51,1996
27,Aslan Karatsev,Russian Federation,RUS,1996,26,2021-05-30,4,12,1998
28,Marton Fucsovics,Hungary,HUN,1994,21,2021-04-04,0,2,2018
29,Alex De Minaur,Australia,AUS,1990,7,2024-06-17,-5,-16,2165
30,David Goffin,Belgium,BEL,1988,8,2018-05-21,-4,-11,2165
31,Daniel Evans,United Kingdom,GBR,1987,25,2021-02-08,-6,-12,2002
32,Jo Wilfried Tsonga,France,FRA,1982,6,2009-03-02,0,0,2244
33,Felix Auger Aliassime,Canada,CAN,1980,8,2022-11-07,3,8,2140
34,Marin Cilic,Croatia,CRO,1979,6,2014-09-08,0,5,2232
35,Christian Garin,Chile,CHI,1978,26,2021-06-13,-2,0,2010
36,Hubert Hurkacz,Poland,POL,1977,8,2023-10-15,-7,-14,2119
37,Alejandro Davidovich Fokina,Spain,ESP,1961,22,2023-09-11,11,22,1998
38,Karen Khachanov,Russian Federation,RUS,1960,10,2019-02-08,-3,-13,2137
39,Vasek Pospisil,Canada,CAN,1956,30,2021-02-08,-1,0,1987
40,Jeremy Chardy,France,FRA,1955,23,2015-09-14,-1,0,2016
41,Taylor Harry Fritz,United States,USA,1950,6,2024-11-28,6,11,2162
42,Filip Krajinovic,Serbia,SRB,1949,25,2020-08-31,-5,-10,2033
43,Kyle Edmund,United Kingdom,GBR,1943,24,2018-08-06,1,0,2038
44,Lucas Pouille,France,FRA,1940,20,2016-09-26,2,0,2069
45,Fabio Fognini,Italy,ITA,1939,14,2014-04-11,-5,-8,2112
46,Cameron Norrie,United Kingdom,GBR,1939,11,2022-08-21,-1,-4,2105
47,Alexander Bublik,Kazakhstan,KAZ,1937,20,2024-03-04,-6,-9,1996
48,Ugo Humbert,France,FRA,1936,12,2024-03-04,-5,-7,2078
49,Albert Ramos,Spain,ESP,1932,25,2017-05-01,0,0,2014
50,Reilly Opelka,United States,USA,1931,19,2022-04-11,15,50,2033
51,Jan Lennard Struff,Germany,GER,1931,17,2024-07-15,0,6,2037
52,Frances Tiafoe,United States,USA,1920,14,2023-07-03,0,0,2068
