,,Players,Pts
,1,I. Swiatek,9295
,2,A. Sabalenka,9050
,3,C. Gauff,6580
,4,E. Rybakina,6365
,5,J. Pegula,5975
,6,O. Jabeur,4195
,7,M. Vondroušová,4046
,8,K. Muchová,3650
,9,M. Sakkari,3620
,10,B. Krejcíková,2880
,11,B. Haddad Maia,2855
,12,M. Keys,2816
,13,J. Ostapenko,2720
,14,P. Kvitová,2660
,15,Q. Zheng,2660
,16,L. Samsonova,2650
,17,B. Bencic,2571
,18,D. Kasatkina,2550
,19,V. Kudermetova,2520
,20,C. Garcia,2095
,21,E. Alexandrova,2035
,22,V. Azarenka,1905
,23,D. Vekic,1865
,24,M. Linette,1861
,25,E. Svitolina,1809
,26,S. Cirstea,1765
,27,A. Potapova,1588
,28,A. Kalinina,1570
,29,E. Mertens,1495
,30,J. Paolini,1435
,31,L. Tsurenko,1432
,32,E. Navarro,1355
,33,S. Kenin,1332
,34,M. Bouzková,1325
,35,L. Fernandez,1325
,36,X. Wang,1320
,37,L. Zhu,1292
,38,K. Plíšková,1285
,39,M. Kostyuk,1260
,40,P. Martic,1253
,41,L. Nosková,1247
,42,M. Trevisan,1187
,43,V. Gracheva,1186
,44,C. Dolehide,1163
,45,K. Siniaková,1160
,46,E. Cocciaretto,1140
,47,S. Stephens,1135
,48,S. Sorribes,1126
,49,P. Stearns,1119
,50,A. Blinkova,1110
,51,A. Rus,1094
,52,D. Collins,1088
,53,C. Giorgi,1087
,54,T. Maria,1080
,55,C. Burel,1079
,56,K. Boulter,1073
,57,M. Andreeva,1060
,58,A. Pavlyuchenkova,1044
,59,M. Sherif,1005
,60,G. Minnen,984
,61,C. Bucsa,983
,62,L. Bronzetti,968
,63,R. Masarova,962
,64,P. Badosa,947
,65,B. Pera,941
,66,Y. Putintseva,937
,67,N. Podoroska,936
,68,L. Davis,933
,69,A. Bogdan,928
,70,X. Wang,926
,71,Y. Wickmayer,917
,72,A. Schmiedlová,916
,73,E. Avanesyan,915
,74,M. Frech,897
,75,I. Begu,888
,76,A. Kalinskaya,885
,77,Y. Yuan,882
,78,C. Osorio,874
,79,D. Parry,874
,80,V. Tomova,873
,81,T. Townsend,868
,82,A. Krueger,863
,83,V. Golubic,834
,84,T. Korpatsch,833
,85,A. Parks,818
,86,L. Siegemund,814
,87,K. Day,807
,88,Z. Bai,807
,89,J. Cristian,805
,90,A. Sasnovich,803
,91,E. Bektas,802
,92,L. Fruhvirtová,800
,93,D. Shnaider,783
,94,N. Hibino,774
,95,B. Andreescu,764
,96,O. Dodin,763
,97,J. Burrage,762
,98,C. Liu,759
,99,K. Rakhimova,758
,100,Y. Wang,755
,101,J. Grabher,744
,102,D. Yastremska,734
,103,T. Zidanšek,725
,104,R. Zarazúa,720
,105,S. Errani,713
,106,K. Juvan,705
,107,C. Tauson,699
,108,K. Volynets,673
,109,M. Bassols,664
,110,L. Pigossi,662
,111,B. Fruhvirtová,657
,112,E. Andreeva,656
,113,E. Mandlik,648
,114,A. Rodionova,647
,115,K. Birrell,641
,116,E. Arango,635
,117,A. Cornet,631
,118,A. Bondár,630
,119,O. Danilovic,626
,120,M. Hontama,626
,121,H. Dart,602
,122,L. Carlé,595
,123,L. Stefanini,591
,124,A. Sharma,590
,125,N. Párrizas,585
,126,O. Gadecki,585
,127,R. Peterson,582
,128,G. Ruse,573
,129,S. Bejlek,573
,130,R. Šramková,571
,131,H. Baptiste,567
,132,K. Baindl,566
,133,J. Ponchet,560
,134,D. Snigur,559
,135,A. Friedsam,557
,136,E. Lys,555
,137,H. Watson,551
,138,V. Hruncáková,549
,139,J. Riera,546
,140,D. Semenistaja,535
,141,C. Naef,533
,142,D. Gálfi,532
,143,M. Timofeeva,531
,144,V. Savinykh,523
,145,K. Sebov,520
,146,S. Vickery,517
,147,J. Teichmann,517
,148,C. McNally,517
,149,S. Rogers,514
,150,D. Kovinic,501
,151,M. Brengle,497
,152,A. Hartono,496
,153,M. Capurro,495
,154,L. Jeanjean,493
,155,T. Martincová,491
,156,Y. Starodubtseva,490
,157,C. Paquet,488
,158,A. Tikhonova,482
,159,J. Bouzas,480
,160,P. Udvardy,475
,161,F. Ferro,474
,162,S. Jang,468
,163,G. Knutson,465
,164,Z. Sönmez,462
,165,J. Niemeier,458
,166,M. Björklund,458
,167,S. Waltert,455
,168,K. Kanepi,449
,169,A. Li,444
,170,A. Bolsova,441
,171,S. Hunter,440
,172,K. Zavatska,438
,173,P. Marcinko,427
,174,A. Korneeva,427
,175,S. Sierra,424
,176,R. Marino,422
,177,N. Noha Akugue,419
,178,R. Serban,417
,179,E. Seidel,417
,180,N. Stevanovic,414
,181,H. Sakatsume,412
,182,P. Kudermetova,410
,183,I. Bara,410
,184,J. Fett,409
,185,E. Makarova,407
,186,Y. Miyazaki,402
,187,E. Jacquemot,402
,188,T. Babos,402
,189,Y. Bonaventure,401
,190,A. Eala,399
,191,R. Montgomery,396
,192,A. Zakharova,395
,193,V. Erjavec,392
,194,M. Bulgaru,390
,195,C. Monnet,386
,196,S. Kraus,385
,197,K. Kawa,385
,198,E. Kalieva,380
,199,M. Uchijima,376
,200,I. Shymanovich,369
,201,S. Lansere,368
,202,D. Astakhova,367
,203,T. Preston,367
