,,Players,Pts
,1,N. Djokovic,11245
,2,C. Alcaraz,8855
,3,D. Medvedev,7600
,4,J. Sinner,6490
,5,A. Rublev,4805
,6,S. Tsitsipas,4235
,7,A. Zverev,3985
,8,H. Rune,3660
,9,H. Hurkacz,3245
,10,T. Fritz,3100
,11,C. Ruud,2825
,12,A. De Minaur,2740
,13,T. Paul,2665
,14,G. Dimitrov,2570
,15,K. Khachanov,2520
,16,F. Tiafoe,2310
,17,B. Shelton,2145
,18,C. Norrie,1940
,19,N. Jarry,1810
,20,U. Humbert,1765
,21,F. Cerúndolo,1760
,22,A. Mannarino,1755
,23,T. Griekspoor,1640
,24,S. Korda,1530
,25,J. Struff,1522
,26,A. Davidovich,1495
,27,L. Musetti,1470
,28,S. Báez,1435
,29,F. Auger-Aliassime,1425
,30,T. Etcheverry,1375
,31,J. Lehecka,1372
,32,A. Bublik,1369
,33,L. Djere,1285
,34,C. Eubanks,1235
,35,A. Karatsev,1193
,36,A. Fils,1158
,37,B. Coric,1135
,38,D. Evans,1131
,39,R. Safiullin,1122
,40,A. Popyrin,1084
,41,M. McDonald,1055
,42,A. Murray,1050
,43,S. Ofner,1048
,44,M. Arnaldi,1021
,45,M. Purcell,1012
,46,L. Sonego,990
,47,Y. Nishioka,955
,48,A. Shevchenko,947
,49,S. Wawrinka,942
,50,B. van de Zandschulp,930
,51,Y. Hanfmann,914
,52,D. Lajovic,914
,53,J. Wolf,910
,54,M. Kecmanovic,905
,55,J. Thompson,902
,56,D. Altmaier,891
,57,R. Bautista,886
,58,Z. Zhang,885
,59,M. Fucsovics,882
,60,M. Giron,860
,61,J. Draper,856
,62,A. Vukic,835
,63,R. Carballés,816
,64,F. Marozsán,805
,65,T. Kokkinakis,802
,66,N. Borges,799
,67,P. Kotov,791
,68,C. O'Connell,780
,69,E. Ruusuvuori,771
,70,P. Cachín,763
,71,R. Hijikata,744
,72,B. Gojo,744
,73,B. Bonzi,738
,74,G. Monfils,737
,75,T. Daniel,737
,76,R. Gasquet,735
,77,D. Koepfer,733
,78,T. Machác,722
,79,T. Seyboth Wild,718
,80,B. Zapata,715
,81,A. Muller,714
,82,C. Garín,709
,83,J. Varillas,709
,84,G. Barrère,708
,85,A. Tabilo,707
,86,J. Munar,706
,87,C. Lestienne,699
,88,F. Coria,694
,89,A. Ramos,688
,90,L. Van Assche,687
,91,M. Marterer,683
,92,M. Berrettini,682
,93,D. Galán,676
,94,D. Stricker,673
,95,F. Díaz,668
,96,A. Rinderknech,656
,97,A. Michelsen,653
,98,D. Thiem,652
,99,Y. Watanuki,646
,100,Q. Halys,640
,101,F. Cobolli,640
,102,J. Kubler,631
,103,T. Barrios,630
,104,H. Gaston,621
,105,M. Mmoh,615
,106,P. Martínez,612
,107,F. Fognini,608
,108,L. Broady,608
,109,D. Shapovalov,605
,110,A. Kovacevic,604
,111,D. Goffin,599
,112,H. Dellien,597
,113,H. Medjedovic,582
,114,D. Schwartzman,576
,115,J. Rodionov,575
,116,J. Duckworth,573
,117,B. Paire,557
,118,L. Nardi,549
,119,A. Molcan,547
,120,J. Cerúndolo,543
,121,Y. Wu,541
,122,T. Monteiro,539
,123,T. Tirante,537
,124,F. Comesaña,533
,125,M. Navone,522
,126,M. Cressy,519
,127,Z. Piros,514
,128,L. Darderi,510
,129,Z. Bergs,508
,130,A. Cazaux,508
,131,R. Albot,502
,132,V. Kopriva,498
,133,C. Moutet,484
,134,B. Nakashima,484
,135,G. Zeppieri,480
,136,M. Ymer,469
,137,S. Mochizuki,457
,138,S. Nagal,450
,139,G. Diallo,446
,140,L. Harris,443
,141,C. Ugo,442
,142,Z. Svajda,441
,143,D. Ajdukovic,434
,144,T. Atmane,431
,145,J. De Loore,428
,146,F. Misolic,426
,147,E. Nava,424
,148,F. Meligeni Alves,423
,149,S. Shimabukuro,423
,150,M. Polmans,419
,151,B. Hassan,418
,152,N. Moreno De Alboran,416
,153,J. de Jong,413
,154,D. Džumhur,410
,155,E. Ymer,407
,156,A. Pellegrino,407
,157,A. Vavassori,397
,158,P. Llamas,393
,159,A. Escoffier,393
,160,J. Choinski,391
,161,T. Droguet,390
,162,G. Brouwer,387
,163,D. Kudla,386
,164,D. Svrcina,385
,165,D. Novak,384
,166,H. Mayot,373
,167,J. Menšík,369
,168,O. Virtanen,365
,169,V. Sachko,360
,170,L. Klein,359
,171,Y. Bu,358
,172,J. Isner,355
,173,G. Olivieri,352
,174,Z. Kolár,351
,175,H. Grenier,349
,176,A. Walton,348
,177,M. Bellucci,346
,178,D. Prižmic,345
,179,R. Peniston,345
,180,I. Gakhov,341
,181,M. Gigante,340
,182,I. Ivashka,336
,183,J. Shang,335
,184,R. Burruchaga,330
,185,R. Brancaccio,326
,186,K. Coppejans,325
,187,D. Rincón,324
,188,B. Zhukayev,319
,189,C. Hemery,319
,190,D. Yevseyev,318
,191,P. Kypson,316
,192,G. Pella,315
,193,S. Travaglia,315
,194,M. Hüsler,312
,195,A. Shelbayh,311
,196,S. Kwon,308
,197,F. Gaio,307
,198,M. Cecchinato,306
,199,B. Harris,306
,200,F. Passaro,304
,201,R. Molleker,302
,202,A. Galarneau,300
,203,A. Giannessi,300
,204,T. Wu,299
,205,G. Mpetshi Perricard,297
,206,M. Lajal,297
,207,D. Kuzmanov,296
,208,Y. Hsu,295
,209,S. Rodríguez,295
,210,E. Couacaud,294
,211,Y. Shimizu,294
,212,F. Agamenone,293
,213,O. Roca,293
,214,K. Jacquet,292
,215,O. Crawford,292
,216,M. Valkusz,291
,217,N. Fatic,290
,218,R. Bonadio,290
,219,U. Blanchet,287
